# cubes [5000,5200) base=[0, 1, 2, 5, 6, 3]
# cube sha256(cnf) sha256(lrat) verdict solve_s check_s
5000 9c11bf812e5b9847272aaa5eba68cb707ba42bb9c358bc3ff8b53a0f2df94357 c489609ab4b0b562b1ed753e8d45d38f0d50c069cc971ca6814bf67ba6f2403a VERIFIED 0.475 0.029
5001 01c37cbcd13de0aa58293f89ec3c69d273fb950432e066b3712d88a911477037 660d315ca1c0df76577a56dc944b2ed53a682d80696b8add127103b72f57a010 VERIFIED 3.619 0.116
5002 c5f889f5c2161f8c3b55a57ed81dcd812cd72c36df12fc48cd98dc89b73502ae cef6ba904d56706f6170fe2b161568bcd0e6bc51a656f7da3637b2d772e1a593 VERIFIED 1.128 0.041
5003 e61dce7ce6bd0720d7255d7c53c704b8f41dda9f9c60db40d71f62640aa27e7d b2034cd918bdfa96417d90249097da653bd0f5400aa9858ff54439c3a0bb74fe VERIFIED 4.062 0.127
5004 c9360ace28bf66a82d6be392ea83f36005e45e81c86e38b57fceb321e48e379d bc6e992f10939c50df19c9761f65b7238418e03ffb1ce3567512ed3d9480da6b VERIFIED 4.170 0.136
5005 20b12924f2808ebc7f2067602d7ed8ffda970fca07a0dd09ca34d4f1d16f9b81 101cb210112ca1c02f06c0ac0a561ca6be022f27d220b19b6115c4c855d4c112 VERIFIED 0.956 0.043
5006 9ec081cde870b94dbf87df151e43ba64ecc8e55b91627d3190ad06c7a6112e5a e5e6716d8016e68f3c0abd5d9262b5f6f84f220ff8b3ae203290f6a47a43f1af VERIFIED 0.844 0.041
5007 45dd77c59d6de76710374ee6a8bbddd9c234025042d6d4a7bb40a74ea06b0462 18f06d7ef9c93f022b6ba8e295d045197d1c49888ae63bb765ed34b2b99b95e2 VERIFIED 4.789 0.139
5008 2d942096150ccb848448665adcdd252e8140ad1e15a9bc07cba1d582dd63da3d e6ef66d8cb496a6f011971af0ad33d654ebd8aafe7a85c197fb9bc6516e97c1d VERIFIED 0.126 0.012
5009 95c54b6ea60b468ad6192b33dd385f0dcbc6ee31f7150401a57d3c300b6bca51 db975f97c39e4f30a0bf2ae5906be5204e97d15cef35c98be321a3bb2438aaec VERIFIED 0.243 0.022
5010 34182e95afa5247a5de02fb218c19e5b0a26a60369d4ccb4032f4c7e4003270c 4e2d1a0c8c667a82b31dba46ffa12006a57d75beb933bb3219a02b27c2e5b5fd VERIFIED 5.336 0.161
5011 5c539fec63617506ad511e3e3e179b1adc3dd0702e46611cdeae86f9570eb312 8d462d6902c3332976bb4e1ba0cf1af7ae1afbe114057f72feb10a431a7ce620 VERIFIED 0.101 0.009
5012 525d2f47783cc2d711296771de0b663448e750d28bcd93edee40de3de9aec82c a7f3f37d4312ec2dd4c8b045f4a43ea97f681006e3ca114d809f621f3de0264c VERIFIED 0.195 0.012
5013 15f0a285708afcc1d5eb7870dfe8786e96d71718e20471af7915f138df9e5100 8ae38571868d8c5b4ebce4bd70012f21828443914738a4f847b36fa5c37f59d4 VERIFIED 1.150 0.050
