  n=13, regular means every out-degree 6
  generator: /Users/lchindelevitch/Downloads/DownloadedSoftware/nauty2_8_6/gentourng -d6 -D6 13
  canonical: /Users/lchindelevitch/Downloads/DownloadedSoftware/nauty2_8_6/labelg
    20,000 generated, 290 self-converse so far
    40,000 generated, 485 self-converse so far
    60,000 generated, 717 self-converse so far
    80,000 generated, 934 self-converse so far
    100,000 generated, 1,095 self-converse so far
    120,000 generated, 1,266 self-converse so far
    140,000 generated, 1,420 self-converse so far
    160,000 generated, 1,556 self-converse so far
    180,000 generated, 1,685 self-converse so far
    200,000 generated, 1,873 self-converse so far
    220,000 generated, 2,048 self-converse so far
    240,000 generated, 2,215 self-converse so far
    260,000 generated, 2,443 self-converse so far
    280,000 generated, 2,608 self-converse so far
    300,000 generated, 2,747 self-converse so far
    320,000 generated, 2,914 self-converse so far
    340,000 generated, 3,098 self-converse so far
    360,000 generated, 3,250 self-converse so far
    380,000 generated, 3,397 self-converse so far
    400,000 generated, 3,576 self-converse so far
    420,000 generated, 3,691 self-converse so far
    440,000 generated, 3,877 self-converse so far
    460,000 generated, 4,016 self-converse so far
    480,000 generated, 4,170 self-converse so far
    500,000 generated, 4,328 self-converse so far
    520,000 generated, 4,495 self-converse so far
    540,000 generated, 4,643 self-converse so far
    560,000 generated, 4,777 self-converse so far
    580,000 generated, 4,896 self-converse so far
    600,000 generated, 5,002 self-converse so far
    620,000 generated, 5,139 self-converse so far
    640,000 generated, 5,353 self-converse so far
    660,000 generated, 5,488 self-converse so far
    680,000 generated, 5,620 self-converse so far
    700,000 generated, 5,764 self-converse so far
    720,000 generated, 5,909 self-converse so far
    740,000 generated, 6,044 self-converse so far
    760,000 generated, 6,149 self-converse so far
    780,000 generated, 6,272 self-converse so far
    800,000 generated, 6,374 self-converse so far
    820,000 generated, 6,516 self-converse so far
    840,000 generated, 6,653 self-converse so far
    860,000 generated, 6,780 self-converse so far
    880,000 generated, 6,887 self-converse so far
    900,000 generated, 7,017 self-converse so far
    920,000 generated, 7,163 self-converse so far
    940,000 generated, 7,271 self-converse so far
    960,000 generated, 7,418 self-converse so far
    980,000 generated, 7,517 self-converse so far
    1,000,000 generated, 7,675 self-converse so far
    1,020,000 generated, 7,805 self-converse so far
    1,040,000 generated, 7,962 self-converse so far
    1,060,000 generated, 8,066 self-converse so far
    1,080,000 generated, 8,209 self-converse so far
    1,100,000 generated, 8,354 self-converse so far
    1,120,000 generated, 8,536 self-converse so far
    1,140,000 generated, 8,686 self-converse so far
    1,160,000 generated, 8,849 self-converse so far
    1,180,000 generated, 8,985 self-converse so far
    1,200,000 generated, 9,166 self-converse so far
    1,220,000 generated, 9,290 self-converse so far
    1,240,000 generated, 9,429 self-converse so far
    1,260,000 generated, 9,562 self-converse so far
    1,280,000 generated, 9,696 self-converse so far
    1,300,000 generated, 9,834 self-converse so far
    1,320,000 generated, 9,961 self-converse so far
    1,340,000 generated, 10,094 self-converse so far
    1,360,000 generated, 10,266 self-converse so far
    1,380,000 generated, 10,420 self-converse so far
    1,400,000 generated, 10,564 self-converse so far
    1,420,000 generated, 10,694 self-converse so far
    1,440,000 generated, 10,823 self-converse so far
    1,460,000 generated, 10,952 self-converse so far
    1,480,000 generated, 11,114 self-converse so far
  regular tournaments on 13 vertices : 1,495,297
  of which SELF-CONVERSE              : 11,237
  MATCHES the self-converse side's count of 11,237
