# bucket	not_provably_rigid	rigid	total
# The order-13 self-converse partition, per imbalance bucket.  Built by
# tools: wc -l on prepare.sh's sym/ and rigid/ output.  total = the two summed.
# Regular hosts (imbalance 0) are NOT here: order_sym drops them before
# bucketing, and their count is the listing total minus this table's total.
4	534	116231	116765
8	1947	579568	581515
12	5671	1852528	1858199
16	11811	4296287	4308098
20	21098	7744870	7765968
24	31369	11345597	11376966
28	39113	13919189	13958302
32	43506	14602845	14646351
36	43108	13294891	13337999
40	37839	10610386	10648225
44	30043	7470362	7500405
48	21655	4655387	4677042
52	14107	2569033	2583140
56	8451	1252143	1260594
60	4692	535766	540458
64	2384	199140	201524
68	1138	63190	64328
72	514	16634	17148
76	205	3455	3660
80	70	510	580
84	15	41	56
