
=== FULL RE-CERTIFICATION -- ~24 core-h [p19: q=19 margin=exact base=0 1 2 3 4 11] ===
### certify Paley(19) margin=exact by depth-6 cubing 2026-09-07 00:30:06
  base [0, 1, 2, 3, 4, 11], break arc (0, 1) + non-arc (2, 1)
  142,251 base states -> 22,876 live (16.1%), enumerated in 1195s
  115 chunks of <= 200, 10 workers, check-and-discard
  200/22,876 cubes, 61 min, ETA 6899 min
  400/22,876 cubes, 77 min, ETA 4313 min
  600/22,876 cubes, 77 min, ETA 2850 min
  800/22,876 cubes, 77 min, ETA 2118 min
  1,000/22,876 cubes, 77 min, ETA 1679 min
  1,200/22,876 cubes, 77 min, ETA 1386 min
  1,400/22,876 cubes, 77 min, ETA 1177 min
  1,600/22,876 cubes, 77 min, ETA 1021 min
  1,800/22,876 cubes, 77 min, ETA 899 min
  2,000/22,876 cubes, 77 min, ETA 801 min
  2,200/22,876 cubes, 77 min, ETA 721 min
  2,400/22,876 cubes, 77 min, ETA 655 min
  2,600/22,876 cubes, 79 min, ETA 617 min
  2,800/22,876 cubes, 79 min, ETA 568 min
  3,000/22,876 cubes, 79 min, ETA 524 min
  3,200/22,876 cubes, 79 min, ETA 487 min
  3,400/22,876 cubes, 82 min, ETA 471 min
  3,600/22,876 cubes, 99 min, ETA 532 min
  3,800/22,876 cubes, 108 min, ETA 542 min
  4,000/22,876 cubes, 114 min, ETA 539 min
  4,200/22,876 cubes, 117 min, ETA 521 min
  4,400/22,876 cubes, 117 min, ETA 492 min
  4,600/22,876 cubes, 117 min, ETA 465 min
  4,800/22,876 cubes, 126 min, ETA 475 min
  5,000/22,876 cubes, 126 min, ETA 451 min
  5,200/22,876 cubes, 126 min, ETA 429 min
  5,400/22,876 cubes, 126 min, ETA 408 min
  5,600/22,876 cubes, 128 min, ETA 396 min
  5,800/22,876 cubes, 143 min, ETA 422 min
  6,000/22,876 cubes, 143 min, ETA 403 min
  6,200/22,876 cubes, 143 min, ETA 385 min
  6,400/22,876 cubes, 144 min, ETA 370 min
  6,600/22,876 cubes, 144 min, ETA 355 min
  6,800/22,876 cubes, 150 min, ETA 354 min
  7,000/22,876 cubes, 150 min, ETA 340 min
  7,200/22,876 cubes, 152 min, ETA 332 min
  7,400/22,876 cubes, 159 min, ETA 332 min
  7,600/22,876 cubes, 159 min, ETA 319 min
  7,800/22,876 cubes, 162 min, ETA 313 min
  8,000/22,876 cubes, 171 min, ETA 318 min
  8,200/22,876 cubes, 174 min, ETA 312 min
  8,400/22,876 cubes, 178 min, ETA 306 min
  8,600/22,876 cubes, 178 min, ETA 295 min
  8,800/22,876 cubes, 178 min, ETA 285 min
  9,000/22,876 cubes, 181 min, ETA 279 min
  9,200/22,876 cubes, 186 min, ETA 277 min
  9,400/22,876 cubes, 187 min, ETA 268 min
  9,600/22,876 cubes, 187 min, ETA 259 min
  9,800/22,876 cubes, 195 min, ETA 260 min
  10,000/22,876 cubes, 204 min, ETA 263 min
  10,200/22,876 cubes, 204 min, ETA 254 min
  10,400/22,876 cubes, 204 min, ETA 245 min
  10,600/22,876 cubes, 228 min, ETA 264 min
  10,800/22,876 cubes, 228 min, ETA 254 min
