scanned 20000 witnesses, min_distance=3, 561159520 insertions, 2338459776 prunes
scanned 40000 witnesses, min_distance=3, 1110794384 insertions, 4677111304 prunes
scanned 60000 witnesses, min_distance=3, 1738774608 insertions, 7006783032 prunes
scanned 80000 witnesses, min_distance=3, 2365099936 insertions, 9331120608 prunes
scanned 100000 witnesses, min_distance=3, 2996473856 insertions, 11667891232 prunes
scanned 120000 witnesses, min_distance=3, 3613924128 insertions, 14007518184 prunes
scanned 140000 witnesses, min_distance=3, 4206706440 insertions, 16356652984 prunes
scanned 160000 witnesses, min_distance=3, 4775429648 insertions, 18705500720 prunes
scanned 180000 witnesses, min_distance=3, 5285741780 insertions, 21056970524 prunes
scanned 200000 witnesses, min_distance=3, 5813346784 insertions, 23408963232 prunes
scanned 220000 witnesses, min_distance=3, 6407609008 insertions, 25762034256 prunes
scanned 240000 witnesses, min_distance=3, 6971920448 insertions, 28112229952 prunes
scanned 260000 witnesses, min_distance=3, 7483836048 insertions, 30461640272 prunes
scanned 280000 witnesses, min_distance=3, 8025921484 insertions, 32804041212 prunes
scanned 300000 witnesses, min_distance=3, 8594775792 insertions, 35140950360 prunes
scanned 320000 witnesses, min_distance=3, 9131034776 insertions, 37480439176 prunes
scanned 340000 witnesses, min_distance=3, 9625097408 insertions, 39820161632 prunes
scanned 360000 witnesses, min_distance=3, 10148283008 insertions, 42157599360 prunes
scanned 380000 witnesses, min_distance=3, 10719887840 insertions, 44488932832 prunes
scanned 400000 witnesses, min_distance=3, 11251985664 insertions, 46831128960 prunes
scanned 420000 witnesses, min_distance=3, 11747761888 insertions, 49172749696 prunes
scanned 440000 witnesses, min_distance=3, 12253630880 insertions, 51516268192 prunes
scanned 460000 witnesses, min_distance=3, 12767988436 insertions, 53839976132 prunes
scanned 480000 witnesses, min_distance=3, 13292018688 insertions, 56143722240 prunes
scanned 500000 witnesses, min_distance=3, 13822631264 insertions, 58481124640 prunes
scanned 520000 witnesses, min_distance=3, 14349013312 insertions, 60882051264 prunes
scanned 540000 witnesses, min_distance=3, 14879217040 insertions, 63245540560 prunes
scanned 560000 witnesses, min_distance=3, 15404464544 insertions, 65550246624 prunes
scanned 580000 witnesses, min_distance=3, 15934760640 insertions, 67896654624 prunes
scanned 600000 witnesses, min_distance=3, 16460769536 insertions, 70296958592 prunes
scanned 620000 witnesses, min_distance=3, 16980368976 insertions, 72645279440 prunes
scanned 640000 witnesses, min_distance=3, 17486057280 insertions, 74935364800 prunes
scanned 660000 witnesses, min_distance=3, 17995984852 insertions, 77274310532 prunes
scanned 680000 witnesses, min_distance=3, 18501398720 insertions, 79660953856 prunes
scanned 700000 witnesses, min_distance=3, 19010325792 insertions, 81994584064 prunes
scanned 720000 witnesses, min_distance=3, 19513769664 insertions, 84284679360 prunes
scanned 740000 witnesses, min_distance=3, 20023019288 insertions, 86633153992 prunes
scanned 760000 witnesses, min_distance=3, 20528293408 insertions, 89019301792 prunes
scanned 780000 witnesses, min_distance=3, 21061347296 insertions, 91371882240 prunes
scanned 800000 witnesses, min_distance=3, 21577826464 insertions, 93708415456 prunes
scanned 820000 witnesses, min_distance=3, 22186986432 insertions, 96046445472 prunes
scanned 840000 witnesses, min_distance=3, 22808798608 insertions, 98378888800 prunes
scanned 860000 witnesses, min_distance=3, 23429391968 insertions, 100705455328 prunes
scanned 880000 witnesses, min_distance=3, 24053076160 insertions, 103042006592 prunes
scanned 900000 witnesses, min_distance=3, 24636923248 insertions, 105389895984 prunes
scanned 920000 witnesses, min_distance=3, 25221675892 insertions, 107738874604 prunes
scanned 940000 witnesses, min_distance=3, 25730180776 insertions, 110089610744 prunes
scanned 960000 witnesses, min_distance=3, 26231872048 insertions, 112440154112 prunes
scanned 980000 witnesses, min_distance=3, 26805741552 insertions, 114795909616 prunes
scanned 1000000 witnesses, min_distance=3, 27392022592 insertions, 117148726080 prunes
scanned 1020000 witnesses, min_distance=3, 27895854704 insertions, 119500202448 prunes
scanned 1040000 witnesses, min_distance=3, 28408337116 insertions, 121846189476 prunes
scanned 1060000 witnesses, min_distance=3, 28970217456 insertions, 124184584208 prunes
scanned 1080000 witnesses, min_distance=3, 29524344128 insertions, 126522284608 prunes
scanned 1100000 witnesses, min_distance=3, 30011153572 insertions, 128862542332 prunes
scanned 1120000 witnesses, min_distance=3, 30498710976 insertions, 131202583616 prunes
scanned 1140000 witnesses, min_distance=3, 31062149152 insertions, 133535943808 prunes
scanned 1160000 witnesses, min_distance=3, 31612453408 insertions, 135869559648 prunes
scanned 1180000 witnesses, min_distance=3, 32100635216 insertions, 138213629616 prunes
scanned 1200000 witnesses, min_distance=3, 32596804096 insertions, 140556739840 prunes
scanned 1220000 witnesses, min_distance=3, 33085323360 insertions, 142893981120 prunes
scanned 1240000 witnesses, min_distance=3, 33603485208 insertions, 145201783096 prunes
scanned 1260000 witnesses, min_distance=3, 34119171888 insertions, 147505554576 prunes
scanned 1280000 witnesses, min_distance=3, 34639775232 insertions, 149905628400 prunes
