name	arc	orbit
g2_f00	0->1	orbit_size=3
g2_f01	0->2	orbit_size=3
g2_f02	0->3	orbit_size=3
g2_f03	0->4	orbit_size=3
g2_f04	0->5	orbit_size=3
g2_f05	0->6	orbit_size=3
g2_f06	0->7	orbit_size=3
g2_f07	0->8	orbit_size=3
g2_f08	0->9	orbit_size=3
g2_f09	1->2	orbit_size=3
g2_f10	1->3	orbit_size=3
g2_f11	1->4	orbit_size=3
g2_f12	1->5	orbit_size=3
g2_f13	1->10	orbit_size=3
g2_f14	1->11	orbit_size=3
g2_f15	1->12	orbit_size=3
g2_f16	1->13	orbit_size=3
g2_f17	1->14	orbit_size=3
g2_f18	4->5	orbit_size=3
g2_f19	4->6	orbit_size=3
g2_f20	4->8	orbit_size=3
g2_f21	4->9	orbit_size=3
g2_f22	4->10	orbit_size=3
g2_f23	4->12	orbit_size=3
g2_f24	4->13	orbit_size=3
g2_f25	4->17	orbit_size=3
g2_f26	4->18	orbit_size=3
g2_f27	6->1	orbit_size=3
g2_f28	6->3	orbit_size=3
g2_f29	6->5	orbit_size=3
g2_f30	6->7	orbit_size=3
g2_f31	6->10	orbit_size=3
g2_f32	6->11	orbit_size=3
g2_f33	6->15	orbit_size=3
g2_f34	6->17	orbit_size=3
g2_f35	6->18	orbit_size=3
g2_f36	7->1	orbit_size=3
g2_f37	7->2	orbit_size=3
g2_f38	7->4	orbit_size=3
g2_f39	7->8	orbit_size=3
g2_f40	7->10	orbit_size=3
g2_f41	7->13	orbit_size=3
g2_f42	7->15	orbit_size=3
g2_f43	7->16	orbit_size=3
g2_f44	7->18	orbit_size=3
g2_f45	8->1	orbit_size=3
g2_f46	8->6	orbit_size=3
g2_f47	8->12	orbit_size=3
g2_f48	12->0	orbit_size=3
g2_f49	12->2	orbit_size=3
g2_f50	12->5	orbit_size=3
g2_f51	12->6	orbit_size=3
g2_f52	12->7	orbit_size=3
g2_f53	12->11	orbit_size=3
g2_f54	12->13	orbit_size=3
g2_f55	12->16	orbit_size=3
g2_f56	12->18	orbit_size=3
