name	n	tmin	margin	verdict	verified	seconds
d006	23		exact	ABORTED	0	625.0
d003	23		exact	ABORTED	0	625.4
d000	23		exact	ABORTED	0	625.5
d008	23		exact	ABORTED	0	626.4
d009	23		exact	ABORTED	0	626.6
d001	23		exact	ABORTED	0	626.9
d004	23		exact	ABORTED	0	627.3
d002	23		exact	ABORTED	0	627.4
d007	23		exact	ABORTED	0	627.4
d005	23		exact	ABORTED	0	627.8
d002	23		exact	ABORTED	0	616.8
d003	23		exact	ABORTED	0	616.8
d009	23		exact	ABORTED	0	616.9
d001	23		exact	ABORTED	0	617.0
d007	23		exact	ABORTED	0	617.1
d006	23		exact	ABORTED	0	617.2
d008	23		exact	ABORTED	0	617.4
d005	23		exact	ABORTED	0	617.7
d000	23		exact	ABORTED	0	617.7
d004	23		exact	ABORTED	0	617.9
d012	23		exact	ABORTED	0	615.5
d014	23		exact	ABORTED	0	615.5
d011	23		exact	ABORTED	0	615.9
d010	23		exact	ABORTED	0	616.0
d013	23		exact	ABORTED	0	616.0
d017	23		exact	ABORTED	0	615.6
d018	23		exact	ABORTED	0	615.6
d016	23		exact	ABORTED	0	616.0
d015	23		exact	ABORTED	0	616.3
d019	23		exact	ABORTED	0	616.0
d022	23		exact	ABORTED	0	615.2
d021	23		exact	ABORTED	0	615.4
d020	23		exact	ABORTED	0	616.0
d023	23		exact	ABORTED	0	615.8
d024	23		exact	ABORTED	0	616.1
d025	23		exact	ABORTED	0	615.9
d026	23		exact	ABORTED	0	616.1
d027	23		exact	ABORTED	0	616.1
d028	23		exact	ABORTED	0	616.3
d029	23		exact	ABORTED	0	616.1
d031	23		exact	ABORTED	0	614.8
d030	23		exact	ABORTED	0	614.9
d033	23		exact	ABORTED	0	615.2
d032	23		exact	ABORTED	0	615.6
d034	23		exact	ABORTED	0	615.2
d036	23		exact	ABORTED	0	615.4
d008	23		majority	ABORTED	0	634.1
d002	23		majority	ABORTED	0	634.3
d009	23		majority	ABORTED	0	634.4
d003	23		majority	ABORTED	0	634.4
d007	23		majority	ABORTED	0	634.7
d006	23		majority	ABORTED	0	635.9
d000	23		majority	ABORTED	0	636.1
d004	23		majority	ABORTED	0	636.2
d005	23		majority	ABORTED	0	636.2
d001	23		majority	ABORTED	0	641.3
d011	23		majority	ABORTED	0	633.9
d014	23		majority	ABORTED	0	633.5
d012	23		majority	ABORTED	0	634.3
d010	23		majority	ABORTED	0	635.8
d015	23		majority	ABORTED	0	634.1
d016	23		majority	ABORTED	0	634.1
d018	23		majority	ABORTED	0	634.7
d017	23		majority	ABORTED	0	635.1
d013	23		majority	ABORTED	0	637.5
d019	23		majority	ABORTED	0	632.7
d021	23		majority	ABORTED	0	634.2
d020	23		majority	ABORTED	0	635.1
d025	23		majority	ABORTED	0	633.5
d022	23		majority	ABORTED	0	635.1
d024	23		majority	ABORTED	0	634.4
d023	23		majority	ABORTED	0	634.9
d028	23		majority	ABORTED	0	633.1
d026	23		majority	ABORTED	0	635.7
d027	23		majority	ABORTED	0	635.7
d029	23		majority	ABORTED	0	633.4
d030	23		majority	ABORTED	0	632.4
d033	23		majority	ABORTED	0	631.7
d036	23		majority	ABORTED	0	631.7
d032	23		majority	ABORTED	0	634.6
d034	23		majority	ABORTED	0	634.4
d031	23		majority	ABORTED	0	635.8
