name	n	tmin	margin	verdict	verified	seconds
c006	19	3	exact	SAT	1	4.3
c007	19	3	exact	SAT	1	5.5
c008	19	3	exact	SAT	1	5.6
c009	19	3	exact	SAT	1	6.1
c001	19	4	exact	SAT	1	6.9
c003	19	4	exact	SAT	1	7.6
c002	19	4	exact	SAT	1	7.9
c010	19	3	exact	SAT	1	8.4
c012	19	3	exact	SAT	1	5.3
c004	19	4	exact	SAT	1	11.2
c011	19	3	exact	SAT	1	8.0
c015	19	3	exact	SAT	1	7.9
c005	19	4	exact	SAT	1	16.5
c023	19	2	exact	SAT	1	0.9
c013	19	3	exact	SAT	1	13.3
c014	19	3	exact	SAT	1	13.3
c024	19	2	exact	SAT	1	2.7
c025	19	2	exact	SAT	1	3.4
c018	19	3	exact	SAT	1	14.1
c016	19	3	exact	SAT	1	15.0
c029	19	1	exact	SAT	1	0.3
c026	19	2	exact	SAT	1	3.7
c017	19	3	exact	SAT	1	15.3
c027	19	2	exact	SAT	1	4.3
c019	19	3	exact	SAT	1	13.8
c020	19	3	exact	SAT	1	14.3
c021	19	3	exact	SAT	1	16.1
c028	19	2	exact	SAT	1	7.1
c022	19	3	exact	SAT	1	15.1
paley19	19	5	exact	ABORTED	0	313.3
paley19	19	5	majority	SAT	1	339.0
paley19	19	5	exact	UNSAT	1	complete-sweep+LRAT-certificate
