name	tmin	source	detail	orbit	aliases
h04_f00	4	h04	0->1	orbit_size=21	h04#0
h04_f01	4	h04	0->2	orbit_size=21	h04#1
h04_f02	4	h04	0->3	orbit_size=21	h04#2
h04_f03	4	h04	0->4	orbit_size=21	h04#3
h04_f04	4	h04	0->5	orbit_size=21	h04#4
h04_f05	4	h04	0->6	orbit_size=21	h04#5
h04_f06	4	h04	0->7	orbit_size=21	h04#6
h04_f07	4	h04	0->8	orbit_size=21	h04#7
h04_f08	4	h04	0->9	orbit_size=21	h04#8
h04_f09	4	h04	0->10	orbit_size=21	h04#9
h05_f00	4	h05	0->1	orbit_size=21	h05#0
h05_f01	4	h05	0->2	orbit_size=21	h05#1
h05_f02	4	h05	0->3	orbit_size=21	h05#2
h05_f03	4	h05	0->4	orbit_size=21	h05#3
h05_f04	4	h05	0->5	orbit_size=21	h05#4
h05_f05	4	h05	0->6	orbit_size=21	h05#5
h05_f06	4	h05	0->7	orbit_size=21	h05#6
h05_f07	4	h05	0->8	orbit_size=21	h05#7
h05_f08	4	h05	0->9	orbit_size=21	h05#8
h05_f09	4	h05	0->10	orbit_size=21	h05#9
h02_f00	4	h02	0->1	orbit_size=21	h02#0
h02_f01	4	h02	0->3	orbit_size=21	h02#1
h02_f02	4	h02	0->4	orbit_size=21	h02#2
h02_f03	4	h02	0->5	orbit_size=21	h02#3
h02_f04	4	h02	0->6	orbit_size=21	h02#4
h02_f05	4	h02	0->10	orbit_size=21	h02#5
h02_f06	4	h02	0->11	orbit_size=21	h02#6
h02_f07	4	h02	0->13	orbit_size=21	h02#7
h02_f08	4	h02	0->16	orbit_size=21	h02#8
h02_f09	4	h02	0->17	orbit_size=21	h02#9
h01_f00	4	h01	0->1	orbit_size=21	h01#0
h01_f01	4	h01	0->3	orbit_size=21	h01#1
h01_f02	4	h01	0->4	orbit_size=21	h01#2
h01_f03	4	h01	0->5	orbit_size=21	h01#3
h01_f04	4	h01	0->7	orbit_size=21	h01#4
h01_f05	4	h01	0->9	orbit_size=21	h01#5
h01_f06	4	h01	0->11	orbit_size=21	h01#6
h01_f07	4	h01	0->12	orbit_size=21	h01#7
h01_f08	4	h01	0->15	orbit_size=21	h01#8
h01_f09	4	h01	0->16	orbit_size=21	h01#9
