name	n	tmin	margin	verdict	verified	seconds
h01_f06	21	4	exact	ABORTED	0	1813.2
h01_f08	21	4	exact	ABORTED	0	1813.3
h01_f01	21	4	exact	ABORTED	0	1813.5
h01_f07	21	4	exact	ABORTED	0	1813.5
h01_f00	21	4	exact	ABORTED	0	1813.6
h01_f05	21	4	exact	ABORTED	0	1813.6
h01_f02	21	4	exact	ABORTED	0	1813.8
h01_f04	21	4	exact	ABORTED	0	1814.0
h01_f03	21	4	exact	ABORTED	0	1814.1
h02_f04	21	4	exact	SAT	1	179.1
h02_f08	21	4	exact	SAT	1	43.6
h02_f07	21	4	exact	SAT	1	235.6
h01_f09	21	4	exact	ABORTED	0	1814.4
h02_f00	21	4	exact	ABORTED	0	1814.6
h02_f02	21	4	exact	ABORTED	0	1814.6
h02_f05	21	4	exact	ABORTED	0	1814.4
h02_f03	21	4	exact	ABORTED	0	1814.9
h02_f01	21	4	exact	ABORTED	0	1815.2
h02_f06	21	4	exact	ABORTED	0	1815.0
h02_f09	21	4	exact	ABORTED	0	1814.4
h04_f00	21		exact	ABORTED	0	1815.7
h04_f03	21	4	exact	SAT	1	371.9
h04_f07	21	4	exact	SAT	1	662.7
h04_f09	21	4	exact	SAT	1	665.8
h05_f02	21	4	exact	SAT	1	57.9
h04_f01	21	4	exact	ABORTED	0	1815.4
h04_f02	21	4	exact	ABORTED	0	1815.8
h04_f04	21	4	exact	ABORTED	0	1815.6
h04_f05	21	4	exact	ABORTED	0	1815.7
h04_f06	21	4	exact	ABORTED	0	1815.6
h05_f04	21	4	exact	SAT	1	15.3
h04_f08	21	4	exact	ABORTED	0	1815.3
h05_f00	21	4	exact	ABORTED	0	1815.0
h05_f01	21	4	exact	ABORTED	0	1814.8
h05_f03	21	4	exact	ABORTED	0	1815.1
h05_f09	21	4	exact	SAT	1	950.1
h05_f05	21	4	exact	ABORTED	0	1815.5
h05_f08	21	4	exact	ABORTED	0	1814.9
h05_f06	21	4	exact	ABORTED	0	1815.5
h05_f07	21	4	exact	ABORTED	0	1815.2
h01_f08	21	4	majority	SAT	1	165.8
h01_f02	21	4	majority	SAT	1	169.3
h02_f00	21	4	majority	SAT	1	34.0
h01_f04	21	4	majority	SAT	1	221.1
h02_f02	21	4	majority	SAT	1	47.8
h01_f07	21	4	majority	SAT	1	272.9
h02_f01	21	4	majority	SAT	1	80.2
h02_f03	21	4	majority	SAT	1	56.4
h01_f06	21	4	majority	SAT	1	330.3
h02_f05	21	4	majority	SAT	1	76.9
h04_f00	21		majority	SAT	1	150.3
h02_f09	21	4	majority	SAT	1	252.7
h01_f05	21	4	majority	SAT	1	596.2
h04_f04	21	4	majority	SAT	1	53.0
h04_f05	21	4	majority	SAT	1	79.7
h01_f09	21	4	majority	SAT	1	516.7
h04_f06	21	4	majority	SAT	1	60.1
h05_f01	21	4	majority	SAT	1	91.9
h04_f08	21	4	majority	SAT	1	116.2
h04_f01	21	4	majority	SAT	1	533.5
h05_f06	21	4	majority	SAT	1	40.7
h01_f03	21	4	majority	SAT	1	1014.8
h05_f03	21	4	majority	SAT	1	245.0
h04_f02	21	4	majority	SAT	1	635.1
h05_f05	21	4	majority	SAT	1	394.0
h05_f00	21	4	majority	SAT	1	504.5
h01_f01	21	4	majority	SAT	1	1297.4
h02_f06	21	4	majority	SAT	1	1084.4
h01_f00	21	4	majority	SAT	1	1536.4
h05_f07	21	4	majority	SAT	1	754.1
h05_f08	21	4	majority	SAT	1	712.8
