name	tmin	connection_set
paley23	6	1,2,3,4,6,8,9,12,13,16,18
v001	5	1,2,3,4,5,8,10,11,14,16,17
v002	5	1,2,3,4,6,7,8,11,13,14,18
v003	5	1,2,3,4,6,7,9,10,11,15,18
v004	5	1,2,3,4,6,10,11,14,15,16,18
v005	5	1,2,3,4,7,8,10,12,14,17,18
v006	5	1,2,3,4,7,10,12,14,15,17,18
v007	5	1,2,3,6,7,8,10,11,14,18,19
v008	5	1,2,5,6,7,8,9,11,13,19,20
v009	4	1,2,3,4,5,6,7,9,12,13,15
v010	4	1,2,3,4,5,6,7,10,12,14,15
v011	4	1,2,3,4,5,6,8,9,10,12,16
v012	4	1,2,3,4,5,6,8,9,11,13,16
v013	4	1,2,3,4,5,6,8,9,12,13,16
v014	4	1,2,3,4,5,6,8,10,11,14,16
v015	4	1,2,3,4,5,6,8,11,13,14,16
v016	4	1,2,3,4,5,6,9,10,12,15,16
v017	4	1,2,3,4,5,6,9,11,13,15,16
v018	4	1,2,3,4,5,6,9,12,13,15,16
v019	4	1,2,3,4,5,6,10,12,14,15,16
v020	4	1,2,3,4,5,7,8,9,10,12,17
v021	4	1,2,3,4,5,7,8,9,11,13,17
v022	4	1,2,3,4,5,7,8,9,12,13,17
v023	4	1,2,3,4,5,7,8,10,12,14,17
v024	4	1,2,3,4,5,7,8,11,13,14,17
v025	4	1,2,3,4,5,7,9,10,11,15,17
v026	4	1,2,3,4,5,7,9,10,12,15,17
v027	4	1,2,3,4,5,7,9,12,13,15,17
v028	4	1,2,3,4,5,7,10,11,14,15,17
v029	4	1,2,3,4,5,7,10,12,14,15,17
v030	4	1,2,3,4,5,8,10,12,14,16,17
v031	4	1,2,3,4,5,8,11,13,14,16,17
v032	4	1,2,3,4,5,9,10,12,15,16,17
v033	4	1,2,3,4,5,9,11,13,15,16,17
v034	4	1,2,3,4,6,7,8,9,11,13,18
v035	4	1,2,3,4,6,7,9,11,13,15,18
v036	4	1,2,3,4,6,7,10,11,14,15,18
v037	4	1,2,3,4,6,10,12,14,15,16,18
v038	4	1,2,3,4,7,8,9,10,12,17,18
v039	4	1,2,3,4,7,8,11,13,14,17,18
v040	4	1,2,3,4,7,10,11,14,15,17,18
v041	4	1,2,3,4,7,11,13,14,15,17,18
v042	4	1,2,3,4,8,10,11,14,16,17,18
v043	4	1,2,3,4,10,12,14,15,16,17,18
v044	4	1,2,3,5,6,7,8,9,11,13,19
v045	4	1,2,3,5,6,7,8,11,13,14,19
v046	4	1,2,3,5,6,9,10,11,15,16,19
v047	4	1,2,3,5,7,8,9,10,11,17,19
v048	4	1,2,3,7,9,10,12,15,17,18,19
v049	4	1,2,3,7,10,12,14,15,17,18,19
v050	4	1,2,3,10,12,14,15,16,17,18,19
v051	3	1,2,3,4,5,6,7,8,10,11,14
v052	3	1,2,3,4,5,6,7,8,11,13,14
v053	3	1,2,3,4,5,6,7,9,10,11,15
v054	3	1,2,3,4,5,6,7,9,10,12,15
v055	3	1,2,3,4,5,6,7,10,11,14,15
v056	3	1,2,3,4,5,6,7,11,13,14,15
v057	3	1,2,3,4,5,6,8,9,10,11,16
v058	3	1,2,3,4,5,6,9,10,11,15,16
v059	3	1,2,3,4,5,6,10,11,14,15,16
v060	3	1,2,3,4,5,6,11,13,14,15,16
v061	3	1,2,3,4,5,7,8,9,10,11,17
v062	3	1,2,3,4,5,7,8,10,11,14,17
v063	3	1,2,3,4,5,7,11,13,14,15,17
v064	3	1,2,3,4,5,9,10,11,15,16,17
v065	3	1,2,3,4,5,9,12,13,15,16,17
v066	3	1,2,3,4,5,10,11,14,15,16,17
v067	3	1,2,3,4,5,10,12,14,15,16,17
v068	3	1,2,3,4,6,7,11,13,14,15,18
v069	3	1,2,3,4,6,11,13,14,15,16,18
v070	3	1,2,3,4,7,8,9,10,11,17,18
v071	3	1,2,3,4,7,8,10,11,14,17,18
v072	3	1,2,3,4,7,9,10,11,15,17,18
v073	3	1,2,3,4,7,9,10,12,15,17,18
v074	3	1,2,3,4,10,11,14,15,16,17,18
v075	3	1,2,3,4,11,13,14,15,16,17,18
v076	3	1,2,3,5,6,7,8,9,10,11,19
v077	3	1,2,3,5,7,8,9,10,12,17,19
v078	3	1,2,3,5,7,8,9,11,13,17,19
v079	3	1,2,3,5,7,8,11,13,14,17,19
v080	3	1,2,3,6,7,8,9,10,11,18,19
v081	3	1,2,3,7,8,9,10,11,17,18,19
v082	3	1,2,3,7,8,9,10,12,17,18,19
v083	3	1,2,3,7,8,10,11,14,17,18,19
v084	3	1,2,3,7,8,10,12,14,17,18,19
v085	2	1,2,3,4,5,6,7,8,9,10,12
v086	2	1,2,3,4,5,6,7,8,9,11,13
v087	2	1,2,3,4,5,6,7,8,9,12,13
v088	2	1,2,3,4,5,6,7,8,10,12,14
v089	2	1,2,3,4,5,6,7,8,12,13,14
v090	2	1,2,3,4,5,6,7,9,11,13,15
v091	2	1,2,3,4,5,7,9,11,13,15,17
v092	2	1,2,3,4,5,11,13,14,15,16,17
v093	1	1,2,3,4,5,6,7,8,9,10,11
