name	n	tmin	margin	verdict	verified	seconds
v003	23	5	exact	SAT	1	27.7
v006	23	5	exact	SAT	1	24.1
v009	23	4	exact	SAT	1	7.2
v011	23	4	exact	SAT	1	7.9
v012	23	4	exact	SAT	1	8.2
v013	23	4	exact	SAT	1	8.4
v014	23	4	exact	SAT	1	294.1
v015	23	4	exact	SAT	1	10.0
v018	23	4	exact	SAT	1	12.6
v019	23	4	exact	SAT	1	9.1
v020	23	4	exact	SAT	1	7.2
v021	23	4	exact	SAT	1	8.5
v022	23	4	exact	SAT	1	14.6
v023	23	4	exact	ABORTED	0	313.7
v024	23	4	exact	SAT	1	9.2
v025	23	4	exact	SAT	1	9.7
v026	23	4	exact	SAT	1	15.2
v028	23	4	exact	SAT	1	126.8
v029	23	4	exact	SAT	1	12.2
v031	23	4	exact	SAT	1	16.2
v032	23	4	exact	SAT	1	25.5
v033	23	4	exact	SAT	1	17.2
v034	23	4	exact	SAT	1	8.1
v035	23	4	exact	SAT	1	44.8
v036	23	4	exact	SAT	1	16.9
v037	23	4	exact	SAT	1	19.8
v039	23	4	exact	SAT	1	33.9
v040	23	4	exact	SAT	1	18.5
v041	23	4	exact	SAT	1	182.8
v042	23	4	exact	SAT	1	16.2
v043	23	4	exact	SAT	1	164.9
v044	23	4	exact	SAT	1	10.1
v045	23	4	exact	SAT	1	10.4
v047	23	4	exact	SAT	1	30.4
v048	23	4	exact	SAT	1	17.6
v049	23	4	exact	SAT	1	19.6
v050	23	4	exact	SAT	1	13.4
v051	23	3	exact	SAT	1	3.5
v052	23	3	exact	SAT	1	9.4
v053	23	3	exact	SAT	1	3.8
v054	23	3	exact	SAT	1	4.2
v055	23	3	exact	SAT	1	5.3
v056	23	3	exact	SAT	1	5.1
v057	23	3	exact	SAT	1	4.7
v058	23	3	exact	SAT	1	9.4
v059	23	3	exact	SAT	1	6.9
v060	23	3	exact	SAT	1	6.7
v061	23	3	exact	SAT	1	4.5
v062	23	3	exact	SAT	1	6.7
v063	23	3	exact	SAT	1	11.3
v064	23	3	exact	SAT	1	10.9
v065	23	3	exact	SAT	1	11.4
v066	23	3	exact	SAT	1	11.1
v067	23	3	exact	SAT	1	11.0
v068	23	3	exact	SAT	1	13.2
v069	23	3	exact	SAT	1	13.6
v070	23	3	exact	SAT	1	7.6
v071	23	3	exact	SAT	1	12.6
v072	23	3	exact	SAT	1	13.2
v073	23	3	exact	SAT	1	13.8
v074	23	3	exact	SAT	1	12.7
v075	23	3	exact	SAT	1	11.6
v076	23	3	exact	SAT	1	7.2
v077	23	3	exact	SAT	1	12.3
v078	23	3	exact	SAT	1	11.6
v079	23	3	exact	SAT	1	14.1
v080	23	3	exact	SAT	1	11.9
v081	23	3	exact	SAT	1	11.4
v082	23	3	exact	SAT	1	16.0
v083	23	3	exact	SAT	1	17.8
v084	23	3	exact	SAT	1	22.6
v085	23	2	exact	SAT	1	1.0
v086	23	2	exact	SAT	1	2.9
v087	23	2	exact	SAT	1	3.7
v088	23	2	exact	SAT	1	4.1
v089	23	2	exact	SAT	1	5.3
v090	23	2	exact	SAT	1	4.0
v091	23	2	exact	SAT	1	5.6
v092	23	2	exact	SAT	1	10.2
v093	23	1	exact	SAT	1	0.4
v023	23	4	majority	SAT	1	134.1
